Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2025-11-24,3027.24609375,3063.578397230728,3017.4161679823073,3043.4366842823783,6703764
2025-11-25,3006.044189453125,3035.534202019235,3001.996600643867,3031.1974493056246,2737920
2025-11-26,3048.15869140625,3062.71099952004,3003.923909850209,3005.658657913636,2508527
2025-11-27,3022.81298828125,3064.6384631299097,3011.6337098367826,3064.6384631299097,2836233
2025-11-28,3023.680419921875,3033.124950840084,3011.6338843843378,3026.0897270293826,1616690
2025-12-01,3019.72900390625,3039.581788202742,3008.935355329588,3024.0657566161144,1747647
2025-12-02,3021.94580078125,3029.9447477765,3007.2007935969305,3017.416350282513,2512003
2025-12-03,3064.638427734375,3095.3810901757683,3025.125793917674,3026.089516693691,3952112
2025-12-04,3112.053466796875,3132.0989471151875,3071.769808666434,3078.13047294951,5025905
2025-12-05,3120.72705078125,3152.915532717371,3105.5001838412545,3112.824571063191,5244013
2025-12-08,3119.0888671875,3141.6398867746047,3092.2010949656524,3125.353065437683,2544725
2025-12-09,3091.91162109375,3116.3900838422614,3065.794641509269,3112.8243568679477,2734893
2025-12-10,3073.5048828125,3108.0062080861744,3062.807700289892,3108.0062080861744,1386849
2025-12-11,3076.106689453125,3092.0081155406747,3038.7144333046613,3088.7315521574005,1914362
2025-12-12,3103.669189453125,3106.078496384854,3070.131589906683,3081.696263178982,1146554
2025-12-15,3113.01708984375,3120.7268716204835,3081.310706400481,3094.6101270221197,1562190
2025-12-16,3088.828125,3103.187500999765,3075.3360054304358,3103.187500999765,1734623
2025-12-17,3101.0673828125,3119.4743477745933,3084.3949307247763,3084.3949307247763,1376350
2025-12-18,3161.78173828125,3168.5277977297296,3104.1510690788923,3110.897128527372,2307422
2025-12-19,3162.938232421875,3197.5357868591873,3159.854366515901,3179.3215200364916,3902511
2025-12-22,3204.28173828125,3207.8477007511456,3171.6116305486757,3189.9223631467994,2632816
2025-12-23,3189.92236328125,3199.4631245744913,3174.0209376032617,3199.4631245744913,2365420
